id,likes,retweets
874434818259525634,0,12226
874296783580663808,22986,3486
874057562936811520,20136,3382
874012996292530176,30154,8603
873580283840344065,21400,3345
873337748698140672,0,1332
873213775632977920,6327,1332
872967104147763200,24103,4567
872820683541237760,13081,3169
872620804844003328,18340,3070
872486979161796608,36128,7725
872122724285648897,30260,6836
871879754684805121,33139,9259
871762521631449091,17903,2973
871515927908634625,17909,2945
871166179821445120,0,4898
871102520638267392,18565,4689
871032628920680449,20180,3230
870804317367881728,29832,5288
870726314365509632,105,3
870656317836468226,10900,2212
870374049280663552,74008,22769
870308999962521604,19501,3553
870063196459192321,32454,7083
869772420881756160,38068,8705
869702957897576449,25087,5390
869596645499047938,14231,2642
869227993411051520,18155,3202
868880397819494401,58044,12272
868639477480148993,0,1755
868622495443632128,23665,4481
868552278524837888,8975,1755
867900495410671616,21625,3577
867774946302451713,30306,6261
867421006826221569,14359,2119
867072653475098625,0,101
867051520902168576,28736,6794
866720684873056260,17890,4135
866686824827068416,17150,2974
866450705531457537,108985,30247
866334964761202691,46670,12226
866094527597207552,0,7175
865718153858494464,22956,4858
865359393868664832,23635,4297
865006731092295680,25066,6682
864873206498414592,28892,7502
864279568663928832,13086,2588
864197398364647424,26666,7599
863907417377173506,18467,3596
863553081350529029,13693,3640
863471782782697472,0,2092
863432100342583297,21335,4563
863427515083354112,1962,80
863079547188785154,7913,954
863062471531167744,7536,2092
862831371563274240,17232,4464
862722525377298433,15353,3093
862457590147678208,18300,4264
862096992088072192,66390,20030
861383897657036800,32326,9281
861288531465048066,15364,3595
861005113778896900,15009,3344
860981674716409858,0,1858
860924035999428608,0,679
860563773140209665,6734,1858
860524505164394496,21288,4609
860276583193509888,16604,3079
860184849394610176,15037,5129
860177593139703809,0,26789
859924526012018688,17657,3590
859851578198683649,13992,3073
859607811541651456,16859,1367
859196978902773760,80664,26324
859074603037188101,30478,11985
858860390427611136,0,7099
858843525470990336,14145,3031
858471635011153920,19512,4270
858107933456039936,14256,2542
857989990357356544,14510,2271
857746408056729600,30844,9365
857393404942143489,5317,1444
857263160327368704,18274,3991
857214891891077121,204,16
857062103051644929,0,148
857029823797047296,17074,3498
856543823941562368,14852,2553
856526610513747968,10844,1657
856288084350160898,489,15
856282028240666624,25283,5589
855862651834028034,302,21
855860136149123072,4418,853
855857698524602368,10871,1864
855851453814013952,41937,16151
855818117272018944,24314,4824
855459453768019968,27136,7319
855245323840757760,0,5277
855138241867124737,0,36
854732716440526848,20720,5366
854482394044301312,26630,6040
854365224396361728,17224,4166
854120357044912130,29247,6603
854010172552949760,14853,2800
853760880890318849,26127,5121
853639147608842240,31604,8896
853299958564483072,14192,3178
852936405516943360,0,1791
852912242202992640,8267,1602
852672615818899456,13665,1917
852553447878664193,14922,3128
852311364735569921,30407,8899
852226086759018497,18376,6106
852189679701164033,10584,1421
851591660324737024,14985,3133
851464819735769094,22299,6326
851224888060895234,19078,5183
850753642995093505,28203,8107
850380195714523136,12099,2336
850333567704068097,3199,301
850145622816686080,15077,3404
850019790995546112,18816,4387
849776966551130114,27961,6840
849668094696017920,0,4457
849412302885593088,14696,2838
849336543269576704,10579,1696
849051919805034497,39081,7649
848690551926992896,23309,3935
848324959059550208,22869,4171
848213670039564288,7549,647
848212111729840128,15058,2722
847978865427394560,0,2929
847971574464610304,0,396
847962785489326080,21771,4589
847842811428974592,5023,1193
847617282490613760,6478,376
847606175596138505,17382,3099
847251039262605312,19015,3927
847157206088847362,18405,5264
847116187444137987,19906,2886
846874817362120707,18656,3559
846514051647705089,41290,10414
846505985330044928,13099,2768
846153765933735936,29163,8195
846139713627017216,28869,9185
846042936437604353,14845,2598
845812042753855489,27066,7892
845677943972139009,23488,4394
845397057150107648,7100,1624
845306882940190720,21668,4875
845098359547420673,0,6957
844979544864018432,12704,2318
844973813909606400,13962,2864
844580511645339650,15321,2823
